ID Google Scholar,Name,Affiliation,Citations,Profile URL
UUMzzx0AAAAJ,Paulus Cahyono Tjiang,Department of Physics - Parahyangan Catholic University,162,https://scholar.google.com/citations?hl=en&user=UUMzzx0AAAAJ
SdZkTUMAAAAJ,Loren Pratiwi,Universitas Katolik Parahyangan,159,https://scholar.google.com/citations?hl=en&user=SdZkTUMAAAAJ
Y42cuxUAAAAJ,Levin Halim,Parahyangan Catholic University,159,https://scholar.google.com/citations?hl=en&user=Y42cuxUAAAAJ
A5k2OgcAAAAJ,Hanky Fransiscus,"Lecturer of Industrial Engineering, Universitas Katolik Parahyangan",157,https://scholar.google.com/citations?hl=en&user=A5k2OgcAAAAJ
eMvyAZ0AAAAJ,Sylvia Fettry,Universitas Katolik Parahyangan,155,https://scholar.google.com/citations?hl=en&user=eMvyAZ0AAAAJ
ku2h21gAAAAJ,Ratih Indraswari,Ewha Womans University,155,https://scholar.google.com/citations?hl=en&user=ku2h21gAAAAJ
DrKSGvMAAAAJ,Istiharini Istiharini,Universitas Katolik Parahyangan,150,https://scholar.google.com/citations?hl=en&user=DrKSGvMAAAAJ
CNxPcAoAAAAJ,Luciana Abednego,Universitas Katolik Parahyangan,150,https://scholar.google.com/citations?hl=en&user=CNxPcAoAAAAJ
8-H6m1cAAAAJ,Stanislaus Risadi Apresian,"Assistant Professor, Universitas Katolik Parahyangan",149,https://scholar.google.com/citations?hl=en&user=8-H6m1cAAAAJ
KEPkHdkAAAAJ,Alvin Stanza Kiswandhi,STKIP Surya,149,https://scholar.google.com/citations?hl=en&user=KEPkHdkAAAAJ
SXmnC9IAAAAJ,Yogi Yusuf Wibisono,Universitas Katolik Parahyangan,148,https://scholar.google.com/citations?hl=en&user=SXmnC9IAAAAJ
g9X28QcAAAAJ,Mardohar Batu Bornok Simanjuntak,Universitas Katolik Parahyangan,148,https://scholar.google.com/citations?hl=en&user=g9X28QcAAAAJ
FuBCNOYAAAAJ,Felisia Felisia,Universitas Katolik Parahyangan,147,https://scholar.google.com/citations?hl=en&user=FuBCNOYAAAAJ
Rg7JnGgAAAAJ,Ceicalia Tesavrita,Universitas Katolik Parahyangan,143,https://scholar.google.com/citations?hl=en&user=Rg7JnGgAAAAJ
xxxVqXgAAAAJ,Elizabeth Tiur Manurung,Parahyangan Catholic University,143,https://scholar.google.com/citations?hl=en&user=xxxVqXgAAAAJ
2qZdIvcAAAAJ,Andreas Doweng Bolo,Universitas Katolik Parahyangan,142,https://scholar.google.com/citations?hl=en&user=2qZdIvcAAAAJ
YSlwqLYAAAAJ,Rumiati Rosaline Tobing,Universitas Katolik Parahyangan,141,https://scholar.google.com/citations?hl=en&user=YSlwqLYAAAAJ
MGguacAAAAAJ,Dewi Sukma Kristianti,Fakultas Hukum Universitas Katolik Parahyangan,137,https://scholar.google.com/citations?hl=en&user=MGguacAAAAAJ
pDqaNpAAAAAJ,Dina Rubiana Widarda,"Civil Engineering, Parahyangan Catholic University",136,https://scholar.google.com/citations?hl=en&user=pDqaNpAAAAAJ
sLag0psAAAAJ,Bagus Made Arthaya,"Senior Lecture at Mechatronics Engineering, Parahyangan University",136,https://scholar.google.com/citations?hl=en&user=sLag0psAAAAJ
lark4gYAAAAJ,Yansen Hartanto,Universitas Katolik Parahyangan,136,https://scholar.google.com/citations?hl=en&user=lark4gYAAAAJ
tLVFhnYAAAAJ,Kinley Aritonang,"Faculty of Industrial Engineering, Parahyangan Catholic University",136,https://scholar.google.com/citations?hl=en&user=tLVFhnYAAAAJ
7by6o7sAAAAJ,Anastasia Maurina,"Architecture Department, Universitas Katolik Parahyangan",135,https://scholar.google.com/citations?hl=en&user=7by6o7sAAAAJ
nPlW9DwAAAAJ,Hotna Marina Sitorus,Universitas Katolik Parahyangan,135,https://scholar.google.com/citations?hl=en&user=nPlW9DwAAAAJ
F7-4hzAAAAAJ,Ria Satyarini,"senior lecturer of Management department, Parahyangan Catholic University",134,https://scholar.google.com/citations?hl=en&user=F7-4hzAAAAAJ
t15oBrQAAAAJ,Yohanes Karyadi Kusliansjah,Universitas Katolik Parahyangan,131,https://scholar.google.com/citations?hl=en&user=t15oBrQAAAAJ
D7DZqxEAAAAJ,Elok Fidiani,"Lecturer in Department of Physics, Universitas Katolik Parahyangan",131,https://scholar.google.com/citations?hl=en&user=D7DZqxEAAAAJ
J5sg9AMAAAAJ,Chandra Utama,"Lecturer, Universitas Katolik Parahyangan",130,https://scholar.google.com/citations?hl=en&user=J5sg9AMAAAAJ
aTBxrk0AAAAJ,Jessica Martha,"Lecturer of International Relations Department, Parahyangan Catholic Univeristy Bandung",129,https://scholar.google.com/citations?hl=en&user=aTBxrk0AAAAJ
YlJEHuQAAAAJ,Samuel Wirawan,Universitas Katolik Parahyangan,129,https://scholar.google.com/citations?hl=en&user=YlJEHuQAAAAJ
JhojdBgAAAAJ,Angguntari Ceria Sari,Universitas Katolik Parahyangan,127,https://scholar.google.com/citations?hl=en&user=JhojdBgAAAAJ
69KyszcAAAAJ,Martinus Ahmad Raif,Universitas Katolik Parahyangan,126,https://scholar.google.com/citations?hl=en&user=69KyszcAAAAJ
h3TLGMMAAAAJ,Ali Sadiyoko,"Mechatronics Engineering, Parahyangan University",119,https://scholar.google.com/citations?hl=en&user=h3TLGMMAAAAJ
wzmpvi8AAAAJ,Sylvester Kanisius Laku,Universitas Katolik Parahyangan,119,https://scholar.google.com/citations?hl=en&user=wzmpvi8AAAAJ
O7fZNSEAAAAJ,Sugiri Kustedja,"Parahyangan Catholic University, Maranatha Christian University",118,https://scholar.google.com/citations?hl=en&user=O7fZNSEAAAAJ
GNRlq7MAAAAJ,Albert Triwibowo,"Assistant Professor, Parahyangan Catholic University (UNPAR)",118,https://scholar.google.com/citations?hl=en&user=GNRlq7MAAAAJ
7T4MLdsAAAAJ,Angela Martina,"Department of Chemical Engineering, Parahyangan Catholic University",118,https://scholar.google.com/citations?hl=en&user=7T4MLdsAAAAJ
